Thu May 23 22:23:47 2024 Epoch 0, lr: 0.0001000, val loss: 51.41949, acc: 93.89060
Thu May 23 22:36:22 2024 Epoch 1, lr: 0.0001000, val loss: 48.38959, acc: 94.23790
Thu May 23 22:48:58 2024 Epoch 2, lr: 0.0001000, val loss: 49.79430, acc: 93.78009
Thu May 23 23:01:33 2024 Epoch 3, lr: 0.0001000, val loss: 45.19085, acc: 94.39577
Thu May 23 23:14:09 2024 Epoch 4, lr: 0.0001000, val loss: 44.02088, acc: 94.71150
Thu May 23 23:26:43 2024 Epoch 5, lr: 0.0001000, val loss: 37.30590, acc: 95.29560
Thu May 23 23:39:17 2024 Epoch 6, lr: 0.0001000, val loss: 50.32778, acc: 93.89455
Thu May 23 23:51:50 2024 Epoch 7, lr: 0.0001000, val loss: 50.96339, acc: 93.91033
Fri May 24 00:04:24 2024 Epoch 8, lr: 0.0001000, val loss: 41.85210, acc: 94.88515
Fri May 24 00:17:00 2024 Epoch 9, lr: 0.0001000, val loss: 30.49819, acc: 96.48749
Fri May 24 00:29:34 2024 Epoch 10, lr: 0.0001000, val loss: 35.48809, acc: 95.67053
Fri May 24 00:42:07 2024 Epoch 11, lr: 0.0001000, val loss: 37.64502, acc: 95.50478
Fri May 24 00:54:39 2024 Epoch 12, lr: 0.0001000, val loss: 33.18443, acc: 96.26253
Fri May 24 01:07:11 2024 Epoch 13, lr: 0.0000100, val loss: 34.53116, acc: 95.95075
Fri May 24 01:19:43 2024 Epoch 14, lr: 0.0000100, val loss: 13.86386, acc: 98.40950
Fri May 24 01:32:16 2024 Epoch 15, lr: 0.0000100, val loss: 12.90514, acc: 98.56737
Fri May 24 01:44:48 2024 Epoch 16, lr: 0.0000100, val loss: 11.70043, acc: 98.69761
Fri May 24 01:57:19 2024 Epoch 17, lr: 0.0000100, val loss: 10.58967, acc: 98.75286
Fri May 24 02:09:45 2024 Epoch 18, lr: 0.0000100, val loss: 10.92219, acc: 98.74891
Fri May 24 02:22:12 2024 Epoch 19, lr: 0.0000100, val loss: 10.03839, acc: 98.83574
Fri May 24 15:27:24 2024 Epoch 0, lr: 0.0001000, val loss: 26.13456, acc: 96.94530
Fri May 24 15:40:03 2024 Epoch 1, lr: 0.0001000, val loss: 24.53598, acc: 97.04002
Fri May 24 15:52:44 2024 Epoch 2, lr: 0.0001000, val loss: 24.97919, acc: 97.08738
Fri May 24 16:05:25 2024 Epoch 3, lr: 0.0001000, val loss: 23.98568, acc: 96.94530
Fri May 24 16:18:06 2024 Epoch 4, lr: 0.0001000, val loss: 21.36666, acc: 97.41495
Fri May 24 16:30:49 2024 Epoch 5, lr: 0.0001000, val loss: 19.26369, acc: 97.67937
Fri May 24 16:43:32 2024 Epoch 6, lr: 0.0001000, val loss: 17.39865, acc: 98.02273
Fri May 24 16:56:15 2024 Epoch 7, lr: 0.0001000, val loss: 21.15754, acc: 97.45047
Fri May 24 17:08:58 2024 Epoch 8, lr: 0.0001000, val loss: 18.34526, acc: 97.76620
Fri May 24 17:21:42 2024 Epoch 9, lr: 0.0001000, val loss: 20.82915, acc: 97.55703
Fri May 24 17:34:28 2024 Epoch 10, lr: 0.0001000, val loss: 15.79742, acc: 98.12140
Fri May 24 17:47:12 2024 Epoch 11, lr: 0.0001000, val loss: 17.22488, acc: 97.89644
Fri May 24 18:00:01 2024 Epoch 12, lr: 0.0001000, val loss: 17.23226, acc: 98.05825
Fri May 24 18:12:37 2024 Epoch 13, lr: 0.0001000, val loss: 16.02622, acc: 98.14903
Fri May 24 18:25:16 2024 Epoch 14, lr: 0.0000100, val loss: 16.41625, acc: 98.01879
Fri May 24 18:38:00 2024 Epoch 15, lr: 0.0000100, val loss: 8.23452, acc: 99.05281
Fri May 24 18:50:40 2024 Epoch 16, lr: 0.0000100, val loss: 7.30403, acc: 99.16726
Fri May 24 19:03:18 2024 Epoch 17, lr: 0.0000100, val loss: 7.15503, acc: 99.19094
Fri May 24 19:16:01 2024 Epoch 18, lr: 0.0000100, val loss: 6.50550, acc: 99.23830
Fri May 24 19:28:45 2024 Epoch 19, lr: 0.0000100, val loss: 6.74327, acc: 99.20278
