Tue May 14 02:14:25 2024 Epoch 0, lr: 0.0001000, val loss: 1072.46825, acc: 5.78578
Tue May 14 02:24:12 2024 Epoch 1, lr: 0.0001000, val loss: 944.31898, acc: 13.06338
Tue May 14 02:34:01 2024 Epoch 2, lr: 0.0001000, val loss: 888.52138, acc: 16.92714
Tue May 14 02:43:48 2024 Epoch 3, lr: 0.0001000, val loss: 849.37870, acc: 19.67006
Tue May 14 02:53:34 2024 Epoch 4, lr: 0.0001000, val loss: 803.39401, acc: 22.86289
Tue May 14 03:03:21 2024 Epoch 5, lr: 0.0001000, val loss: 782.23681, acc: 24.35867
Tue May 14 03:13:09 2024 Epoch 6, lr: 0.0001000, val loss: 767.17013, acc: 25.67685
Tue May 14 03:22:55 2024 Epoch 7, lr: 0.0001000, val loss: 731.18002, acc: 28.73155
Tue May 14 03:32:39 2024 Epoch 8, lr: 0.0001000, val loss: 725.54267, acc: 28.90520
Tue May 14 03:42:24 2024 Epoch 9, lr: 0.0001000, val loss: 708.42346, acc: 30.24311
Tue May 14 03:52:10 2024 Epoch 10, lr: 0.0001000, val loss: 694.83322, acc: 31.47447
Tue May 14 04:01:53 2024 Epoch 11, lr: 0.0001000, val loss: 685.22820, acc: 32.42166
Tue May 14 04:11:37 2024 Epoch 12, lr: 0.0001000, val loss: 661.36794, acc: 34.12266
Tue May 14 04:21:21 2024 Epoch 13, lr: 0.0001000, val loss: 657.84367, acc: 34.66335
Tue May 14 04:31:02 2024 Epoch 14, lr: 0.0001000, val loss: 630.93274, acc: 36.89320
Tue May 14 04:40:47 2024 Epoch 15, lr: 0.0001000, val loss: 632.91651, acc: 36.32094
Tue May 14 04:50:31 2024 Epoch 16, lr: 0.0001000, val loss: 616.34920, acc: 38.11272
Tue May 14 05:00:14 2024 Epoch 17, lr: 0.0001000, val loss: 619.31658, acc: 38.02984
Tue May 14 05:09:58 2024 Epoch 18, lr: 0.0001000, val loss: 586.97866, acc: 40.54779
Tue May 14 05:19:38 2024 Epoch 19, lr: 0.0001000, val loss: nan, acc: 0.97877
Tue May 14 05:29:17 2024 Epoch 20, lr: 0.0001000, val loss: nan, acc: 0.97877
Tue May 14 05:38:56 2024 Epoch 21, lr: 0.0001000, val loss: nan, acc: 0.97877
Tue May 14 05:48:35 2024 Epoch 22, lr: 0.0000100, val loss: nan, acc: 0.97877
Tue May 14 05:58:14 2024 Epoch 23, lr: 0.0000100, val loss: nan, acc: 0.97877
Tue May 14 06:07:53 2024 Epoch 24, lr: 0.0000100, val loss: nan, acc: 0.97877
Tue May 14 06:17:32 2024 Epoch 25, lr: 0.0000100, val loss: nan, acc: 0.97877
Tue May 14 06:27:11 2024 Epoch 26, lr: 0.0000010, val loss: nan, acc: 0.97877
Tue May 14 06:36:51 2024 Epoch 27, lr: 0.0000010, val loss: nan, acc: 0.97877
Tue May 14 06:46:30 2024 Epoch 28, lr: 0.0000010, val loss: nan, acc: 0.97877
Tue May 14 06:56:11 2024 Epoch 29, lr: 0.0000010, val loss: nan, acc: 0.97877
Tue May 14 07:05:53 2024 Epoch 30, lr: 0.0000001, val loss: nan, acc: 0.97877
Tue May 14 07:15:32 2024 Epoch 31, lr: 0.0000001, val loss: nan, acc: 0.97877
Tue May 14 07:25:10 2024 Epoch 32, lr: 0.0000001, val loss: nan, acc: 0.97877
Tue May 14 07:34:52 2024 Epoch 33, lr: 0.0000001, val loss: nan, acc: 0.97877
Tue May 14 07:44:32 2024 Epoch 34, lr: 0.0000000, val loss: nan, acc: 0.97877
Tue May 14 07:54:11 2024 Epoch 35, lr: 0.0000000, val loss: nan, acc: 0.97877
Tue May 14 08:03:52 2024 Epoch 36, lr: 0.0000000, val loss: nan, acc: 0.97877
Tue May 14 08:13:38 2024 Epoch 37, lr: 0.0000000, val loss: nan, acc: 0.97877
Tue May 14 08:23:17 2024 Epoch 38, lr: 0.0000000, val loss: nan, acc: 0.97877
Tue May 14 08:32:57 2024 Epoch 39, lr: 0.0000000, val loss: nan, acc: 0.97877
Tue May 14 08:42:40 2024 Epoch 40, lr: 0.0000000, val loss: nan, acc: 0.97877
Tue May 14 08:52:22 2024 Epoch 41, lr: 0.0000000, val loss: nan, acc: 0.97877
Tue May 14 09:02:03 2024 Epoch 42, lr: 0.0000000, val loss: nan, acc: 0.97877
Tue May 14 09:11:44 2024 Epoch 43, lr: 0.0000000, val loss: nan, acc: 0.97877
Tue May 14 09:21:26 2024 Epoch 44, lr: 0.0000000, val loss: nan, acc: 0.97877
Tue May 14 09:31:08 2024 Epoch 45, lr: 0.0000000, val loss: nan, acc: 0.97877
Tue May 14 09:40:51 2024 Epoch 46, lr: 0.0000000, val loss: nan, acc: 0.97877
Tue May 14 09:50:35 2024 Epoch 47, lr: 0.0000000, val loss: nan, acc: 0.97877
Tue May 14 10:00:20 2024 Epoch 48, lr: 0.0000000, val loss: nan, acc: 0.97877
