Mon May 13 22:02:16 2024 Epoch 0, lr: 0.0001000, val loss: 22.96082, acc: 97.44652
Mon May 13 22:07:24 2024 Epoch 1, lr: 0.0001000, val loss: 21.04235, acc: 97.63596
Mon May 13 22:12:31 2024 Epoch 2, lr: 0.0001000, val loss: 19.29165, acc: 97.95169
Mon May 13 22:17:38 2024 Epoch 3, lr: 0.0001000, val loss: 19.56612, acc: 97.75831
Mon May 13 22:22:44 2024 Epoch 4, lr: 0.0001000, val loss: 19.98571, acc: 97.69516
Mon May 13 22:27:51 2024 Epoch 5, lr: 0.0001000, val loss: 18.86086, acc: 97.88460
Mon May 13 22:32:57 2024 Epoch 6, lr: 0.0001000, val loss: 19.89210, acc: 97.78988
Mon May 13 22:38:04 2024 Epoch 7, lr: 0.0001000, val loss: 19.87422, acc: 97.67937
Mon May 13 22:43:11 2024 Epoch 8, lr: 0.0001000, val loss: 19.93196, acc: 97.64386
Mon May 13 22:48:19 2024 Epoch 9, lr: 0.0000100, val loss: 21.22018, acc: 97.63596
Mon May 13 22:53:25 2024 Epoch 10, lr: 0.0000100, val loss: 10.51015, acc: 98.87521
Mon May 13 22:58:31 2024 Epoch 11, lr: 0.0000100, val loss: 9.38492, acc: 98.99755
Mon May 13 23:03:37 2024 Epoch 12, lr: 0.0000100, val loss: 9.10176, acc: 98.98966
Mon May 13 23:08:42 2024 Epoch 13, lr: 0.0000100, val loss: 8.56834, acc: 99.03307
Mon May 13 23:13:48 2024 Epoch 14, lr: 0.0000100, val loss: 8.26292, acc: 99.10017
Mon May 13 23:18:53 2024 Epoch 15, lr: 0.0000100, val loss: 7.91076, acc: 99.11595
Mon May 13 23:23:58 2024 Epoch 16, lr: 0.0000100, val loss: 7.82371, acc: 99.10806
Mon May 13 23:29:03 2024 Epoch 17, lr: 0.0000100, val loss: 7.81880, acc: 99.13963
Mon May 13 23:34:08 2024 Epoch 18, lr: 0.0000100, val loss: 7.87040, acc: 99.18305
Mon May 13 23:39:13 2024 Epoch 19, lr: 0.0000100, val loss: 7.92036, acc: 99.11990
