Mon May 13 23:50:49 2024 Epoch 0, lr: 0.0001000, val loss: 1020.86736, acc: 8.83653
Mon May 13 23:56:18 2024 Epoch 1, lr: 0.0001000, val loss: 910.93201, acc: 15.59713
Tue May 14 00:01:50 2024 Epoch 2, lr: 0.0001000, val loss: 825.11282, acc: 21.06717
Tue May 14 00:10:47 2024 Epoch 0, lr: 0.0001000, val loss: 1032.12007, acc: 7.98011
Tue May 14 00:16:24 2024 Epoch 1, lr: 0.0001000, val loss: 924.21825, acc: 14.05004
Tue May 14 00:22:02 2024 Epoch 2, lr: 0.0001000, val loss: 858.92390, acc: 18.51764
Tue May 14 00:27:41 2024 Epoch 3, lr: 0.0001000, val loss: 794.38193, acc: 23.71931
Tue May 14 00:33:20 2024 Epoch 4, lr: 0.0001000, val loss: 752.36402, acc: 26.99503
Tue May 14 00:38:58 2024 Epoch 5, lr: 0.0001000, val loss: 711.88506, acc: 29.85240
Tue May 14 00:44:34 2024 Epoch 6, lr: 0.0001000, val loss: 673.76156, acc: 32.99787
Tue May 14 00:50:11 2024 Epoch 7, lr: 0.0001000, val loss: 649.75621, acc: 35.13300
Tue May 14 00:55:48 2024 Epoch 8, lr: 0.0001000, val loss: 636.13081, acc: 36.19465
Tue May 14 01:01:24 2024 Epoch 9, lr: 0.0001000, val loss: 605.92809, acc: 39.01255
Tue May 14 01:07:01 2024 Epoch 10, lr: 0.0001000, val loss: 581.63705, acc: 41.11216
Tue May 14 01:12:39 2024 Epoch 11, lr: 0.0001000, val loss: 565.45386, acc: 42.13040
Tue May 14 01:18:15 2024 Epoch 12, lr: 0.0001000, val loss: 551.26405, acc: 43.94980
Tue May 14 01:23:52 2024 Epoch 13, lr: 0.0001000, val loss: 545.11018, acc: 44.38788
Tue May 14 01:29:27 2024 Epoch 14, lr: 0.0001000, val loss: 521.31968, acc: 46.47565
Tue May 14 01:35:03 2024 Epoch 15, lr: 0.0001000, val loss: 508.68805, acc: 47.54124
Tue May 14 01:40:39 2024 Epoch 16, lr: 0.0001000, val loss: 496.12454, acc: 48.79627
Tue May 14 01:46:15 2024 Epoch 17, lr: 0.0001000, val loss: 483.09754, acc: 49.84213
Tue May 14 01:51:50 2024 Epoch 18, lr: 0.0001000, val loss: 471.44474, acc: 51.03402
Tue May 14 01:57:26 2024 Epoch 19, lr: 0.0001000, val loss: 470.61052, acc: 51.53524
Tue May 14 10:43:46 2024 Epoch 19, lr: 0.0001000, val loss: 451.84418, acc: 52.65214
Tue May 14 10:49:22 2024 Epoch 20, lr: 0.0001000, val loss: 442.64435, acc: 53.69800
Tue May 14 10:54:56 2024 Epoch 21, lr: 0.0001000, val loss: 433.77858, acc: 54.41235
Tue May 14 11:00:32 2024 Epoch 22, lr: 0.0001000, val loss: 424.15995, acc: 55.38322
Tue May 14 11:06:08 2024 Epoch 23, lr: 0.0001000, val loss: 418.75490, acc: 56.00679
Tue May 14 11:11:46 2024 Epoch 24, lr: 0.0001000, val loss: 401.66415, acc: 57.77488
Tue May 14 11:17:22 2024 Epoch 25, lr: 0.0001000, val loss: nan, acc: 1.04981
Tue May 14 11:22:55 2024 Epoch 26, lr: 0.0001000, val loss: nan, acc: 1.04981
Tue May 14 11:48:57 2024 Epoch 24, lr: 0.0001000, val loss: 409.47353, acc: 56.99740
Tue May 14 11:54:32 2024 Epoch 25, lr: 0.0001000, val loss: 394.90147, acc: 58.07483
Tue May 14 12:00:07 2024 Epoch 26, lr: 0.0001000, val loss: nan, acc: 1.03797
Thu May 23 12:57:33 2024 Epoch 0, lr: 0.0001000, val loss: 858.59871, acc: 20.01342
Thu May 23 13:10:12 2024 Epoch 1, lr: 0.0001000, val loss: 824.36763, acc: 22.43271
Thu May 23 13:22:55 2024 Epoch 2, lr: 0.0001000, val loss: 778.40378, acc: 25.34928
Thu May 23 14:48:57 2024 Epoch 0, lr: 0.0001000, val loss: 861.86373, acc: 19.63059
