Tue May 14 12:14:23 2024 Epoch 0, lr: 0.0001000, val loss: 48.91592, acc: 94.00900
Tue May 14 12:23:27 2024 Epoch 1, lr: 0.0001000, val loss: 61.83600, acc: 92.56453
Tue May 14 12:32:36 2024 Epoch 2, lr: 0.0001000, val loss: 43.34788, acc: 94.79438
Tue May 14 12:41:43 2024 Epoch 3, lr: 0.0001000, val loss: 44.29770, acc: 94.75097
Tue May 14 12:50:51 2024 Epoch 4, lr: 0.0001000, val loss: 35.69334, acc: 95.79683
Tue May 14 12:59:56 2024 Epoch 5, lr: 0.0001000, val loss: 40.38849, acc: 95.14563
Tue May 14 13:09:03 2024 Epoch 6, lr: 0.0001000, val loss: 39.18203, acc: 95.60739
Tue May 14 13:18:05 2024 Epoch 7, lr: 0.0001000, val loss: 31.19123, acc: 96.40066
Tue May 14 13:27:05 2024 Epoch 8, lr: 0.0001000, val loss: 43.14053, acc: 94.97987
Tue May 14 13:36:08 2024 Epoch 9, lr: 0.0001000, val loss: 29.88744, acc: 96.38093
Tue May 14 13:45:11 2024 Epoch 10, lr: 0.0001000, val loss: 28.09356, acc: 96.47170
Tue May 14 13:54:12 2024 Epoch 11, lr: 0.0001000, val loss: 31.54265, acc: 96.31384
Tue May 14 14:03:13 2024 Epoch 12, lr: 0.0001000, val loss: 30.07858, acc: 96.44802
Tue May 14 14:12:17 2024 Epoch 13, lr: 0.0001000, val loss: 28.25552, acc: 96.74402
Tue May 14 14:21:25 2024 Epoch 14, lr: 0.0000100, val loss: 32.01410, acc: 96.16781
Tue May 14 14:30:36 2024 Epoch 15, lr: 0.0000100, val loss: 11.09836, acc: 98.69366
Tue May 14 14:39:47 2024 Epoch 16, lr: 0.0000100, val loss: 10.28505, acc: 98.80022
Tue May 14 14:48:57 2024 Epoch 17, lr: 0.0000100, val loss: 9.76459, acc: 98.85153
Tue May 14 14:58:07 2024 Epoch 18, lr: 0.0000100, val loss: 9.36782, acc: 99.00545
Tue May 14 15:07:19 2024 Epoch 19, lr: 0.0000100, val loss: 8.44893, acc: 99.02518
Tue May 14 15:16:32 2024 Epoch 20, lr: 0.0000100, val loss: 8.18240, acc: 99.08043
Tue May 14 15:25:44 2024 Epoch 21, lr: 0.0000100, val loss: 7.83574, acc: 99.14358
Tue May 14 15:34:55 2024 Epoch 22, lr: 0.0000100, val loss: 7.80277, acc: 99.12385
Tue May 14 15:44:06 2024 Epoch 23, lr: 0.0000100, val loss: 7.67098, acc: 99.12779
Tue May 14 15:53:18 2024 Epoch 24, lr: 0.0000100, val loss: 7.93747, acc: 99.10806
Tue May 14 16:02:29 2024 Epoch 25, lr: 0.0000100, val loss: 7.31718, acc: 99.17910
Tue May 14 16:11:40 2024 Epoch 26, lr: 0.0000100, val loss: 7.73846, acc: 99.15147
Tue May 14 16:20:52 2024 Epoch 27, lr: 0.0000100, val loss: 6.89564, acc: 99.21462
Tue May 14 16:30:06 2024 Epoch 28, lr: 0.0000100, val loss: 7.22172, acc: 99.16331
Tue May 14 16:39:20 2024 Epoch 29, lr: 0.0000100, val loss: 7.35625, acc: 99.11595
