Mon May 13 19:08:56 2024 Epoch 0, lr: 0.0001000, val loss: 47.02882, acc: 95.35875
Mon May 13 19:13:58 2024 Epoch 1, lr: 0.0001000, val loss: 42.73865, acc: 95.57187
Mon May 13 19:19:00 2024 Epoch 2, lr: 0.0001000, val loss: 36.90949, acc: 95.99416
Mon May 13 19:24:01 2024 Epoch 3, lr: 0.0001000, val loss: 34.63018, acc: 96.22701
Mon May 13 19:29:03 2024 Epoch 4, lr: 0.0001000, val loss: 33.43337, acc: 96.37304
Mon May 13 19:34:10 2024 Epoch 5, lr: 0.0001000, val loss: 29.99389, acc: 96.82690
Mon May 13 19:39:16 2024 Epoch 6, lr: 0.0001000, val loss: 31.03425, acc: 96.61773
Mon May 13 19:44:23 2024 Epoch 7, lr: 0.0001000, val loss: 28.63955, acc: 96.94530
Mon May 13 19:49:27 2024 Epoch 8, lr: 0.0001000, val loss: 28.44732, acc: 96.84269
Mon May 13 19:54:35 2024 Epoch 9, lr: 0.0001000, val loss: 30.34566, acc: 96.68482
Mon May 13 19:59:38 2024 Epoch 10, lr: 0.0001000, val loss: 29.60387, acc: 96.80717
Mon May 13 20:04:41 2024 Epoch 11, lr: 0.0001000, val loss: 31.21687, acc: 96.59800
Mon May 13 20:09:43 2024 Epoch 12, lr: 0.0000100, val loss: 28.72553, acc: 96.91767
Mon May 13 20:14:48 2024 Epoch 13, lr: 0.0000100, val loss: 18.28544, acc: 98.20822
Mon May 13 20:19:52 2024 Epoch 14, lr: 0.0000100, val loss: 16.95636, acc: 98.35425
Mon May 13 20:24:58 2024 Epoch 15, lr: 0.0000100, val loss: 16.32184, acc: 98.42134
Mon May 13 20:30:06 2024 Epoch 16, lr: 0.0000100, val loss: 15.66286, acc: 98.51212
Mon May 13 20:35:08 2024 Epoch 17, lr: 0.0000100, val loss: 15.43140, acc: 98.53974
Mon May 13 20:40:10 2024 Epoch 18, lr: 0.0000100, val loss: 15.57058, acc: 98.52790
Mon May 13 20:45:11 2024 Epoch 19, lr: 0.0000100, val loss: 15.57549, acc: 98.48449
Mon May 13 20:50:13 2024 Epoch 20, lr: 0.0000100, val loss: 15.47060, acc: 98.54369
Mon May 13 20:55:15 2024 Epoch 21, lr: 0.0000010, val loss: 15.43607, acc: 98.50422
Mon May 13 21:00:19 2024 Epoch 22, lr: 0.0000010, val loss: 14.90881, acc: 98.58316
Mon May 13 21:05:21 2024 Epoch 23, lr: 0.0000010, val loss: 14.81963, acc: 98.59105
Mon May 13 21:10:25 2024 Epoch 24, lr: 0.0000010, val loss: 14.77078, acc: 98.58316
Mon May 13 21:15:30 2024 Epoch 25, lr: 0.0000010, val loss: 14.73647, acc: 98.59894
Mon May 13 21:20:35 2024 Epoch 26, lr: 0.0000010, val loss: 14.66614, acc: 98.58710
Mon May 13 21:25:41 2024 Epoch 27, lr: 0.0000010, val loss: 14.62477, acc: 98.59500
Mon May 13 21:30:46 2024 Epoch 28, lr: 0.0000010, val loss: 14.62232, acc: 98.59105
Mon May 13 21:35:52 2024 Epoch 29, lr: 0.0000010, val loss: 14.58642, acc: 98.63052
Mon May 13 21:40:59 2024 Epoch 30, lr: 0.0000010, val loss: 14.61711, acc: 98.62262
