Mon May 13 14:02:37 2024 Epoch 0, lr: 0.0001000, val loss: 467.78508, acc: 51.51156
Mon May 13 14:14:55 2024 Epoch 0, lr: 0.0001000, val loss: 474.34271, acc: 50.30389
Mon May 13 14:19:33 2024 Epoch 1, lr: 0.0001000, val loss: 361.64358, acc: 61.00324
Mon May 13 14:24:12 2024 Epoch 2, lr: 0.0001000, val loss: 302.96556, acc: 66.96661
Mon May 13 14:28:50 2024 Epoch 3, lr: 0.0001000, val loss: 266.35841, acc: 70.68040
Mon May 13 14:33:29 2024 Epoch 4, lr: 0.0001000, val loss: 230.32102, acc: 74.30342
Mon May 13 14:38:08 2024 Epoch 5, lr: 0.0001000, val loss: 210.67453, acc: 76.37935
Mon May 13 14:42:46 2024 Epoch 6, lr: 0.0001000, val loss: 193.03274, acc: 78.52238
Mon May 13 14:47:25 2024 Epoch 7, lr: 0.0001000, val loss: 176.05413, acc: 80.10498
Mon May 13 14:52:03 2024 Epoch 8, lr: 0.0001000, val loss: 165.99714, acc: 81.37975
Mon May 13 14:56:42 2024 Epoch 9, lr: 0.0001000, val loss: 153.71571, acc: 82.89131
Mon May 13 15:01:21 2024 Epoch 10, lr: 0.0001000, val loss: 144.10220, acc: 83.94901
Mon May 13 15:06:00 2024 Epoch 11, lr: 0.0001000, val loss: 131.84962, acc: 85.38559
Mon May 13 15:10:39 2024 Epoch 12, lr: 0.0001000, val loss: 124.74044, acc: 86.27358
Mon May 13 15:15:19 2024 Epoch 13, lr: 0.0001000, val loss: 117.47935, acc: 86.93662
Mon May 13 15:19:58 2024 Epoch 14, lr: 0.0001000, val loss: 111.07975, acc: 87.72200
Mon May 13 15:24:37 2024 Epoch 15, lr: 0.0001000, val loss: 103.85129, acc: 88.53501
Mon May 13 15:29:16 2024 Epoch 16, lr: 0.0001000, val loss: 100.36667, acc: 89.01255
Mon May 13 15:33:54 2024 Epoch 17, lr: 0.0001000, val loss: 96.83113, acc: 89.44273
Mon May 13 15:38:33 2024 Epoch 18, lr: 0.0001000, val loss: 91.16724, acc: 90.22417
Mon May 13 15:43:12 2024 Epoch 19, lr: 0.0001000, val loss: 85.26254, acc: 90.87142
Mon May 13 15:47:51 2024 Epoch 20, lr: 0.0001000, val loss: 81.91601, acc: 91.33712
Mon May 13 15:52:31 2024 Epoch 21, lr: 0.0001000, val loss: 79.23162, acc: 91.72784
Mon May 13 15:57:10 2024 Epoch 22, lr: 0.0001000, val loss: 80.03648, acc: 91.79493
Mon May 13 16:01:49 2024 Epoch 23, lr: 0.0001000, val loss: 78.20195, acc: 92.04752
Mon May 13 16:06:28 2024 Epoch 24, lr: 0.0001000, val loss: 74.61795, acc: 92.46981
Mon May 13 16:11:08 2024 Epoch 25, lr: 0.0001000, val loss: 74.16635, acc: 92.54874
Mon May 13 16:15:47 2024 Epoch 26, lr: 0.0001000, val loss: 73.62614, acc: 92.72634
Mon May 13 16:20:26 2024 Epoch 27, lr: 0.0001000, val loss: 72.06474, acc: 92.76581
Mon May 13 16:25:05 2024 Epoch 28, lr: 0.0001000, val loss: 68.99738, acc: 93.15258
Mon May 13 16:29:44 2024 Epoch 29, lr: 0.0001000, val loss: 69.09932, acc: 93.33412
Mon May 13 16:34:24 2024 Epoch 30, lr: 0.0001000, val loss: 67.18899, acc: 93.48804
Mon May 13 16:39:02 2024 Epoch 31, lr: 0.0001000, val loss: 64.78752, acc: 94.02478
Mon May 13 16:43:40 2024 Epoch 32, lr: 0.0001000, val loss: 69.89658, acc: 93.52356
Mon May 13 16:48:19 2024 Epoch 33, lr: 0.0001000, val loss: 65.75045, acc: 93.96164
Mon May 13 16:52:58 2024 Epoch 34, lr: 0.0001000, val loss: 65.15301, acc: 93.93401
Mon May 13 16:57:36 2024 Epoch 35, lr: 0.0000100, val loss: 65.70436, acc: 94.16686
Mon May 13 17:02:14 2024 Epoch 36, lr: 0.0000100, val loss: 52.96191, acc: 95.50478
Mon May 13 17:06:53 2024 Epoch 37, lr: 0.0000100, val loss: 51.86682, acc: 95.66264
